src_ip,total_sessions,username_entropy,password_entropy,command_entropy
103.171.85.124,3,0.9182958340544894,1.584962500721156,1.0
103.171.85.186,6,1.584962500721156,1.9182958340544896,1.0
103.171.85.243,3,0.9182958340544894,1.584962500721156,1.0
103.171.85.46,3,0.9182958340544894,1.584962500721156,1.0
103.171.91.10,3,0.9182958340544894,1.584962500721156,1.0
103.171.91.12,3,0.9182958340544894,1.584962500721156,1.0
103.172.204.127,6,1.584962500721156,1.9182958340544896,1.0
103.172.204.152,3,0.9182958340544894,1.584962500721156,1.0
103.172.204.23,3,0.9182958340544894,1.584962500721156,1.0
103.172.204.42,3,0.9182958340544894,1.584962500721156,1.0
103.172.204.83,3,0.9182958340544894,1.584962500721156,1.0
103.172.205.125,3,0.9182958340544894,1.584962500721156,1.0
103.172.205.172,3,0.9182958340544894,1.584962500721156,1.0
103.172.205.208,3,0.9182958340544894,1.584962500721156,1.0
103.172.236.241,3,0.9182958340544894,1.584962500721156,1.0
103.174.115.172,3,0.9182958340544894,1.584962500721156,1.0
103.174.115.91,3,0.9182958340544894,1.584962500721156,1.0
103.174.115.99,3,0.9182958340544894,1.584962500721156,1.0
103.176.138.143,2,1.0,1.0,1.0
103.176.138.186,1,0.0,0.0,0.0
103.176.78.193,30,4.840223928941851,4.251841113795077,0.0
103.176.78.28,3,0.9182958340544894,1.584962500721156,1.0
103.176.79.212,3,0.9182958340544894,1.584962500721156,1.0
103.176.79.5,3,0.9182958340544894,1.584962500721156,1.0
103.177.129.133,3,0.9182958340544894,1.584962500721156,1.0
103.179.111.6,49,4.379417496911518,3.983824068641026,1.0
103.179.191.118,6,1.584962500721156,1.9182958340544896,1.0
103.179.191.162,12,0.9182958340544894,2.251629167387823,1.0
103.179.56.126,3,0.9182958340544894,1.584962500721156,1.0
103.179.57.227,6,1.584962500721156,1.9182958340544896,1.0
103.180.172.11,3,0.9182958340544894,1.584962500721156,1.0
103.180.177.168,3,0.9182958340544894,1.584962500721156,1.0
103.180.177.182,3,0.9182958340544894,1.584962500721156,1.0
103.181.142.65,3,0.9182958340544894,1.584962500721156,1.0
103.181.143.73,6,1.584962500721156,1.9182958340544896,1.0
103.183.74.130,3,0.9182958340544894,1.584962500721156,1.0
103.183.74.205,3,0.9182958340544894,1.584962500721156,1.0
103.183.74.22,3,0.9182958340544894,1.584962500721156,1.0
103.183.75.142,3,0.9182958340544894,1.584962500721156,1.0
103.185.212.112,1,0.0,0.0,0.0
103.186.0.155,3,0.9182958340544894,1.584962500721156,1.0
103.186.1.131,3,0.9182958340544894,1.584962500721156,1.0
103.186.1.172,3,0.9182958340544894,1.584962500721156,1.0
103.186.108.178,1,0.0,0.0,0.0
103.186.167.1,3,0.9182958340544894,1.584962500721156,1.0
103.186.221.74,1,0.0,0.0,0.0
103.187.146.61,3,0.9182958340544894,1.584962500721156,1.0
103.187.147.227,3,0.9182958340544894,1.584962500721156,1.0
103.187.147.80,3,0.9182958340544894,1.584962500721156,1.0
103.187.195.104,1,0.0,0.0,0.0
103.188.167.155,3,0.9182958340544894,1.584962500721156,1.0
103.189.234.253,3,0.9182958340544894,1.584962500721156,1.0
103.189.234.75,30,4.840223928941851,4.106890595608519,0.0
103.189.235.159,3,0.9182958340544894,1.584962500721156,1.0
103.189.88.237,3,0.9182958340544894,1.584962500721156,1.0
103.189.98.163,2,0.0,1.0,0.0
103.191.14.112,1,0.0,0.0,4.247927513443585
103.191.14.243,3,0.9182958340544894,1.584962500721156,1.0
103.191.92.57,9,1.974937501201927,2.113283334294875,1.0
103.193.176.131,6,0.9182958340544894,1.9182958340544896,1.0
103.193.176.147,3,0.9182958340544894,1.584962500721156,1.0
103.194.175.139,3,0.9182958340544894,1.584962500721156,1.0
103.194.249.82,1,0.0,0.0,0.0
103.196.154.42,9,1.5304930567574826,2.113283334294875,1.0
103.197.184.115,22,2.0687942075658454,3.260201350835077,0.0
103.197.184.12,9,1.061278124459133,2.4056390622295667,0.0
103.197.184.162,18,2.6556390622295667,3.0778195311147836,0.0
103.197.184.167,16,2.09306920777189,2.78845045730829,0.0
103.197.184.219,19,1.7107770844150676,2.6688388898504307,0.0
103.199.209.60,1,0.0,0.0,0.0
103.20.96.172,3,0.9182958340544894,1.584962500721156,1.0
103.200.20.78,33,4.983788058752394,4.5713747110421865,1.0
103.203.57.11,9,0.0,0.0,0.0
103.205.60.32,1,0.0,0.0,0.0
103.206.72.2,26,4.7004397181410935,3.9446133929717386,0.0
103.213.238.91,3,0.9182958340544894,1.584962500721156,1.0
103.215.80.141,3,0.9182958340544894,1.584962500721156,1.0
103.217.145.120,9,1.974937501201927,2.113283334294875,1.0
103.217.145.144,6,1.584962500721156,1.9182958340544896,1.0
103.220.91.130,1,0.0,0.0,0.0
103.220.91.138,1,0.0,0.0,0.0
103.221.223.225,3,0.9182958340544894,1.584962500721156,1.0
103.226.139.10,3,0.9182958340544894,1.584962500721156,1.0
103.226.139.101,6,0.9182958340544894,1.9182958340544896,1.0
103.226.139.67,32,4.937499999999999,4.385891110799898,1.0
103.229.125.106,3,0.9182958340544894,1.584962500721156,1.0
103.23.135.141,3,0.9182958340544894,1.584962500721156,1.0
103.23.198.220,3,0.9182958340544894,1.584962500721156,1.0
103.23.198.86,6,1.584962500721156,1.9182958340544896,1.0
103.23.199.119,3,0.9182958340544894,1.584962500721156,1.0
103.23.199.16,30,4.906890595608518,4.519902579793958,0.0
103.23.199.38,3,0.9182958340544894,1.584962500721156,1.0
103.230.176.152,1,0.0,0.0,0.0
103.231.163.154,1,0.0,0.0,0.0
103.233.206.154,3,0.9182958340544894,1.584962500721156,1.0
103.234.151.178,3,0.9182958340544894,1.584962500721156,1.0
103.237.249.202,3,0.9182958340544894,1.584962500721156,1.0
103.239.165.47,3,0.9182958340544894,1.584962500721156,1.0
103.241.45.120,3,0.9182958340544894,1.584962500721156,1.0
103.244.232.110,6,0.0,0.0,4.321928094887362
103.245.109.37,1,0.0,0.0,0.0
103.246.42.72,3,0.9182958340544894,1.584962500721156,1.0
103.248.120.6,3,0.9182958340544894,1.584962500721156,1.0
103.248.43.99,3,0.9182958340544894,1.584962500721156,1.0
103.249.84.18,3,0.9182958340544894,1.584962500721156,1.0
103.25.139.186,2,0.0,0.0,0.0
103.25.47.94,30,4.906890595608518,4.386569246460625,0.0
103.250.11.140,30,4.906890595608518,4.519902579793958,0.0
103.251.140.234,1,0.0,0.0,0.0
103.253.21.191,3,0.9182958340544894,1.584962500721156,1.0
103.26.136.173,3,0.9182958340544894,1.584962500721156,1.0
103.26.136.4,3,0.9182958340544894,1.584962500721156,1.0
103.26.136.52,3,0.9182958340544894,1.584962500721156,1.0
103.28.254.254,3,0.9182958340544894,1.584962500721156,1.0
103.28.57.110,3,0.9182958340544894,1.584962500721156,1.0
103.29.69.96,21,0.0,0.0,0.0
103.29.70.204,6,0.0,0.0,0.0
103.29.85.13,9,1.974937501201927,2.113283334294875,1.0
103.3.43.242,1,0.0,0.0,0.0
103.30.194.191,3,0.9182958340544894,1.584962500721156,1.0
103.31.38.209,6,0.9182958340544894,1.9182958340544896,1.0
103.31.38.8,3,0.9182958340544894,1.584962500721156,1.0
103.31.39.217,3,0.9182958340544894,1.584962500721156,1.0
103.31.39.72,6,0.9182958340544894,1.9182958340544896,1.0
103.31.39.75,3,0.9182958340544894,1.584962500721156,1.0
103.38.14.199,2,0.0,0.0,0.0
103.39.109.225,3,0.9182958340544894,1.584962500721156,1.0
103.39.219.139,1,0.0,0.0,0.0
103.39.222.192,1,0.0,0.0,0.0
103.41.98.66,3,0.9182958340544894,1.584962500721156,1.0
103.41.98.68,3,0.9182958340544894,1.584962500721156,1.0
103.41.99.94,1,0.0,0.0,1.0
103.47.184.19,3,0.9182958340544894,1.584962500721156,1.0
103.47.74.210,2,1.0,1.0,0.0
103.49.124.125,2,0.0,0.0,0.0
103.49.238.109,3,0.9182958340544894,1.584962500721156,1.0
103.49.238.134,9,1.5304930567574826,2.113283334294875,1.0
103.49.239.124,3,0.9182958340544894,1.584962500721156,1.0
103.50.205.2,6,1.584962500721156,1.9182958340544896,1.0
103.52.114.138,6,1.584962500721156,1.9182958340544896,1.0
103.52.114.16,3,0.9182958340544894,1.584962500721156,1.0
103.52.115.126,3,0.9182958340544894,1.584962500721156,1.0
103.52.115.189,3,0.9182958340544894,1.584962500721156,1.0
103.52.115.223,3,0.9182958340544894,1.584962500721156,1.0
103.53.78.161,3,0.9182958340544894,1.584962500721156,1.0
103.53.78.162,6,0.9182958340544894,1.9182958340544896,1.0
103.53.78.165,32,4.874999999999999,4.749999999999999,1.0
103.56.112.98,3,0.9182958340544894,1.584962500721156,1.0
103.56.114.54,3,0.9182958340544894,1.584962500721156,1.0
103.56.115.23,3,0.9182958340544894,1.584962500721156,1.0
103.56.115.41,6,1.584962500721156,1.9182958340544896,1.0
103.59.205.96,3,0.9182958340544894,1.584962500721156,1.0
103.59.94.105,3,0.9182958340544894,1.584962500721156,1.0
103.59.94.155,3,0.9182958340544894,1.584962500721156,1.0
103.59.94.35,3,0.9182958340544894,1.584962500721156,1.0
103.59.94.62,3,0.9182958340544894,1.584962500721156,1.0
103.59.95.142,3,0.9182958340544894,1.584962500721156,1.0
103.59.95.187,3,0.9182958340544894,1.584962500721156,1.0
103.60.102.99,3,0.9182958340544894,1.584962500721156,1.0
103.60.89.2,1,0.0,0.0,0.0
103.61.123.132,3,0.9182958340544894,1.584962500721156,1.0
103.62.238.186,2,0.0,0.0,0.0
103.63.108.25,6,1.584962500721156,1.9182958340544896,1.0
103.63.25.171,6,0.9182958340544894,1.9182958340544896,1.0
103.67.78.42,3,0.9182958340544894,1.584962500721156,1.0
103.67.79.165,3,0.9182958340544894,1.584962500721156,1.0
103.68.22.140,1,0.0,0.0,0.0
103.68.52.210,1,0.0,0.0,0.0
103.70.114.33,21,2.746439344671016,3.0709505944546684,0.0
103.70.114.87,23,2.8511494238930326,3.1775662320965252,0.0
103.70.115.126,4,0.0,0.0,0.0
103.70.115.127,9,0.8112781244591328,0.8112781244591328,0.0
103.70.115.129,3,1.0,1.0,0.0
103.70.115.130,7,1.0,1.0,0.0
103.70.115.131,7,0.0,0.0,0.0
103.70.115.15,27,2.155028737741961,3.3758145836939124,0.0
103.70.115.38,35,2.3293911497557116,3.2405808553835396,0.0
103.70.115.6,18,2.3991303913908,3.0860486123130384,0.0
103.75.198.137,3,0.9182958340544894,1.584962500721156,1.0
103.76.120.105,3,0.9182958340544894,1.584962500721156,1.0
103.76.120.213,6,0.9182958340544894,1.9182958340544896,1.0
103.76.120.26,3,0.9182958340544894,1.584962500721156,1.0
103.76.120.90,6,1.584962500721156,1.9182958340544896,1.0
103.77.106.99,1,0.0,0.0,0.0
103.78.171.114,3,0.9182958340544894,1.584962500721156,1.0
103.82.21.8,3,0.9182958340544894,1.584962500721156,1.0
103.82.24.135,3,0.9182958340544894,1.584962500721156,1.0
103.82.92.231,3,0.9182958340544894,1.584962500721156,1.0
103.82.93.126,3,0.9182958340544894,1.584962500721156,1.0
103.82.93.28,3,0.9182958340544894,1.584962500721156,1.0
103.84.119.130,6,1.584962500721156,1.9182958340544896,1.0
103.84.236.242,3,0.9182958340544894,1.584962500721156,1.0
103.86.16.88,1,0.0,0.0,0.0
103.86.180.10,12,1.9182958340544896,2.251629167387823,1.0
103.9.77.59,3,0.9182958340544894,1.584962500721156,1.0
103.90.226.193,36,4.94770277922009,4.83659166810898,1.0
103.91.136.18,3,0.9182958340544894,1.584962500721156,1.0
103.93.93.125,1,0.0,1.0,3.1699250014423126
103.94.111.254,3,0.9182958340544894,1.584962500721156,1.0
103.97.132.8,3,0.9182958340544894,1.584962500721156,1.0
103.97.177.158,1,0.0,0.0,0.0
103.97.247.139,6,1.584962500721156,1.9182958340544896,1.0
103.98.176.164,3,0.9182958340544894,1.584962500721156,1.0
103.98.176.213,3,0.9182958340544894,1.584962500721156,1.0
103.99.39.190,3,0.9182958340544894,1.584962500721156,1.0
104.131.103.142,2,0.0,0.0,0.0
104.131.115.193,1,0.0,0.0,0.0
104.131.163.162,191,6.2816989002874175,6.382173333650206,0.0
104.131.166.137,1,0.0,0.0,0.0
104.131.45.251,1,0.0,0.0,0.0
104.131.48.140,193,6.275476847018779,6.3992352497350025,0.0
104.152.52.119,1,0.0,0.0,0.0
104.152.52.121,1,0.0,0.0,0.0
104.152.52.125,1,0.0,0.0,0.0
104.152.52.201,1,0.0,0.0,0.0
104.152.52.207,1,0.0,0.0,0.0
104.152.52.230,1,0.0,0.0,0.0
104.152.52.239,2,0.0,0.0,0.0
104.156.155.30,28,0.0,0.0,0.0
104.160.44.236,3,0.9182958340544894,1.584962500721156,1.0
104.168.35.231,3,0.9182958340544894,1.584962500721156,1.0
104.168.46.10,3,0.9182958340544894,1.584962500721156,1.0
104.199.151.189,3,0.9182958340544894,1.584962500721156,1.0
104.205.140.176,3,0.9182958340544894,1.584962500721156,1.0
104.208.108.166,6,1.584962500721156,1.9182958340544896,1.0
104.218.166.193,3,0.9182958340544894,1.584962500721156,1.0
104.223.5.55,3,0.9182958340544894,1.584962500721156,1.0
104.234.115.11,2,0.0,0.0,0.0
104.234.115.113,2,0.0,0.0,0.0
104.234.115.119,2,0.0,0.0,0.0
104.234.115.127,2,0.0,0.0,0.0
104.234.115.135,2,0.0,0.0,0.0
104.234.115.139,2,0.0,0.0,0.0
104.234.115.140,2,0.0,0.0,0.0
104.234.115.153,2,0.0,0.0,0.0
104.234.115.158,2,0.0,0.0,0.0
104.234.115.160,2,0.0,0.0,0.0
104.234.115.173,2,0.0,0.0,0.0
104.234.115.174,2,0.0,0.0,0.0
104.234.115.229,2,0.0,0.0,0.0
104.234.115.57,2,0.0,0.0,0.0
104.234.115.61,2,0.0,0.0,0.0
104.234.115.72,2,0.0,0.0,0.0
104.234.115.81,2,0.0,0.0,0.0
104.234.115.88,2,0.0,0.0,0.0
104.234.115.98,2,0.0,0.0,0.0
104.236.145.10,2,0.0,0.0,0.0
104.236.145.128,1,0.0,0.0,0.0
104.236.248.24,6,0.9182958340544894,1.9182958340544896,1.0
104.236.40.179,1,0.0,0.0,0.0
104.237.151.205,13,0.0,0.0,0.0
104.244.94.223,3,0.9182958340544894,1.584962500721156,1.0
104.248.3.129,3,0.9182958340544894,1.584962500721156,1.0
104.248.37.164,1,0.0,0.0,0.0
104.248.40.189,2276,5.302155905588405,6.620912566832528,0.0
104.248.81.123,6,1.584962500721156,1.9182958340544896,1.0
104.248.86.161,21,2.251629167387823,2.584962500721156,0.0
104.28.201.73,1,0.0,0.0,4.247927513443585
104.28.201.74,2,0.0,1.0,1.0
104.28.211.105,2,1.0,1.0,1.0
104.28.235.57,1,0.0,0.0,0.0
104.28.243.105,1,0.0,0.0,0.0
104.28.254.47,2,1.0,1.0,4.247927513443585
105.110.224.0,2,0.0,0.0,0.0
105.28.108.165,6,1.584962500721156,1.9182958340544896,1.0
105.72.172.250,9,1.5304930567574826,2.113283334294875,1.0
105.73.164.78,3,0.9182958340544894,1.584962500721156,1.0
105.73.203.1,1,0.0,0.0,0.0
105.73.203.2,1,0.0,0.0,0.0
105.73.203.38,1,0.0,0.0,0.0
105.96.11.65,3,0.9182958340544894,1.584962500721156,1.0
106.12.112.211,1,0.0,0.0,0.0
106.12.151.247,4,0.9182958340544894,1.584962500721156,1.0
106.12.159.102,2,0.0,0.0,0.0
106.12.170.97,1,0.0,0.0,0.0
106.12.197.155,3,0.9182958340544894,1.584962500721156,1.0
106.13.169.174,1,0.0,0.0,0.0
106.15.238.36,6,0.0,0.0,0.0
106.246.227.218,2,1.0,1.0,0.0
106.246.89.73,2,0.0,0.0,0.0
106.249.158.71,1,0.0,0.0,0.0
106.3.140.28,1,0.0,0.0,0.0
106.37.72.112,1,0.0,0.0,0.0
106.37.72.234,57,2.721089896156509,2.947056898478542,3.1431558784658327
106.38.195.164,2,0.0,0.0,0.0
106.38.205.224,3,0.0,0.0,0.0
106.38.207.191,2,0.0,0.0,0.0
106.38.207.62,1,0.0,0.0,0.0
106.42.72.166,2,0.0,0.0,0.0
106.42.72.87,1,0.0,0.0,0.0
106.51.1.63,3,0.9182958340544894,1.584962500721156,1.0
106.51.184.236,1,0.0,0.0,0.0
106.51.79.73,2,1.0,1.0,0.0
106.51.92.114,3,0.9182958340544894,1.584962500721156,1.0
106.53.112.109,3,0.9182958340544894,1.584962500721156,1.0
106.54.8.130,2,0.0,0.0,0.0
106.57.253.254,2,0.0,0.0,0.0
106.58.166.77,1,0.0,0.0,0.0
106.58.187.101,1,0.0,0.0,0.0
106.60.10.57,1,0.0,0.0,0.0
106.60.69.136,3,0.9182958340544894,1.584962500721156,1.0
106.75.157.146,1,0.0,0.0,0.0
106.75.162.123,1,0.0,0.0,0.0
106.75.163.175,1,0.0,0.0,0.0
106.75.163.72,1,0.0,0.0,0.0
106.75.164.20,42,3.277613436819116,3.277613436819116,0.0
,"('root', 'root1234\r')",0.0,0.0,0.0
106.75.184.37,4,0.9182958340544894,1.584962500721156,0.0
106.75.21.218,2,0.0,0.0,0.0
106.75.213.64,3,0.9182958340544894,1.584962500721156,1.0
106.75.236.97,3,0.9182958340544894,1.584962500721156,1.0
106.75.241.35,7,1.584962500721156,1.9182958340544896,1.0
106.75.70.58,55,0.869137580612638,2.9623057954883456,3.8228240982774384
106.75.75.52,2,0.0,0.0,0.0
106.75.8.149,2,0.0,0.0,0.0
